chapterid,class,subject,chapternumber,chaptertitle,pdffileurl,board
15,11,Physics,1,Units and Measurement,https://kalidasa.blob.core.windows.net/feedback/11/Physics/keph101.pdf,CBSE
16,11,Physics,2,Motion in a Straight Line,https://kalidasa.blob.core.windows.net/feedback/11/Physics/keph102.pdf,CBSE
17,11,Physics,3,Motion in a Plane,https://kalidasa.blob.core.windows.net/feedback/11/Physics/keph103.pdf,CBSE
18,11,Physics,4,Laws of Motion,https://kalidasa.blob.core.windows.net/feedback/11/Physics/keph104.pdf,CBSE
19,11,Physics,5,"Work, Energy and Power",https://kalidasa.blob.core.windows.net/feedback/11/Physics/keph105.pdf,CBSE
20,11,Physics,6,Systems of Particles and Rotational Motion,https://kalidasa.blob.core.windows.net/feedback/11/Physics/keph106.pdf,CBSE
21,11,Physics,7,Gravitation,https://kalidasa.blob.core.windows.net/feedback/11/Physics/keph107.pdf,CBSE
22,11,Physics,8,Mechanical Properties of Solids,https://kalidasa.blob.core.windows.net/feedback/11/Physics/keph201.pdf,CBSE
23,11,Physics,9,Mechanical Properties of Fluids,https://kalidasa.blob.core.windows.net/feedback/11/Physics/keph202.pdf,CBSE
24,11,Physics,10,Thermal Properties of Matter,https://kalidasa.blob.core.windows.net/feedback/11/Physics/keph203.pdf,CBSE
25,11,Physics,11,Thermodynamics,https://kalidasa.blob.core.windows.net/feedback/11/Physics/keph204.pdf,CBSE
26,11,Physics,12,Kinetic Theory,https://kalidasa.blob.core.windows.net/feedback/11/Physics/keph205.pdf,CBSE
27,11,Physics,13,Oscillations,https://kalidasa.blob.core.windows.net/feedback/11/Physics/keph206.pdf,CBSE
28,11,Physics,14,Waves,https://kalidasa.blob.core.windows.net/feedback/11/Physics/keph207.pdf,CBSE
